id,admin_name,left,top,width,height,center_x,center_y,drop_x,drop_y,drop_x,drop_y
MMR,Myanmar,3089,862,119,230,3148.5,977.0,3139.2230710108006,975.5097800931549,3139.2230710108006,975.5097800931549
NAM,Namibia,2173,1380,171,153,2258.5,1456.5,2244.081998676952,1455.8719177557323,2244.081998676952,1455.8719177557323
NRU,Nauru,3939,1192,18,18,3948.0,1201.0,3947.3210954185224,1200.597380716088,3947.3210954185224,1200.597380716088
NPL,Nepal,2951,841,109,63,3005.5,872.5,2993.5286787491523,871.8036967537766,2993.5286787491523,871.8036967537766
NLD,Netherlands,1262,577,877,490,1700.5,822.0,2110.764450083067,601.820364578133,2110.764450083067,601.820364578133
NZL,New Zealand,15,1284,4077,518,2053.5,1543.0,3996.2663965613797,1690.686269604977,3996.2663965613797,1690.686269604977
NIC,Nicaragua,1042,1016,74,66,1079.0,1049.0,1074.5396000227881,1048.510806641777,1074.5396000227881,1048.510806641777
NER,Niger,2042,919,197,152,2140.5,995.0,2160.4478386765813,994.3773645823989,2160.4478386765813,994.3773645823989
NGA,Nigeria,2070,1029,154,126,2147.0,1092.0,2138.255691854317,1091.3994849507549,2138.255691854317,1091.3994849507549
MKD,North Macedonia,2273,705,46,34,2296.0,722.0,2295.2507294048964,721.2925277752879,2295.2507294048964,721.2925277752879
NOR,Norway,1936,268,504,1555,2188.0,1045.5,2306.2411487756835,286.1309455303106,2306.2411487756835,286.1309455303106
OMN,Oman,2631,886,107,128,2684.5,950.0,2696.1311241047556,957.8117325653325,2696.1311241047556,957.8117325653325
PAK,Pakistan,2732,765,202,169,2833.0,849.5,2845.430721634665,849.0091076380439,2845.430721634665,849.0091076380439
PLW,Palau,3532,1095,58,75,3561.0,1132.5,3579.2314774002616,1108.8295566449774,3579.2314774002616,1108.8295566449774
PAN,Panama,1095,1077,84,45,1137.0,1099.5,1121.0830857629473,1098.8975312156438,1121.0830857629473,1098.8975312156438
PNG,Papua New Guinea,3643,1202,189,134,3737.5,1269.0,3690.516331238072,1270.2140150499545,3690.516331238072,1270.2140150499545
PRY,Paraguay,1327,1406,113,112,1383.5,1462.0,1382.7189879062157,1461.34607523271,1382.7189879062157,1461.34607523271
PER,Peru,1115,1187,161,225,1195.5,1299.5,1185.932514929788,1299.1535506318214,1185.932514929788,1299.1535506318214
PHL,Philippines,3371,946,127,205,3434.5,1048.5,3473.002129212307,1107.0804825713772,3473.002129212307,1107.0804825713772
POL,Poland,2201,563,131,83,2266.5,604.5,2265.955807081319,603.9333564814215,2265.955807081319,603.9333564814215
PRT,Portugal,1684,707,302,155,1835.0,784.5,1953.6603300517133,744.504011946666,1953.6603300517133,744.504011946666
QAT,Qatar,2617,889,27,35,2630.5,906.5,2629.8361426578613,906.0846492330656,2629.8361426578613,906.0846492330656
